"emp_no","birth_date","first_name","last_name","gender","hire_date"
16281,"1957-05-26","Lenore","Gustavson","F","1986-01-06"
16411,"1958-08-29","Perla","Highland","M","1986-01-22"
16483,"1964-07-07","Kwangyoen","Karlin","M","1986-01-01"
16537,"1952-05-18","Weidon","Seiwald","M","1986-01-15"
16658,"1952-08-28","Florian","Soicher","M","1986-01-18"
16865,"1964-06-12","Gou","Rosin","M","1986-01-08"
16995,"1958-09-11","Parviz","Ranai","F","1986-01-21"
17035,"1959-07-16","Eldridge","Eiter","M","1986-01-20"
17631,"1958-04-25","Howell","Versino","M","1986-01-17"
17696,"1952-08-11","Feiyu","Kusalik","F","1986-01-06"
17715,"1961-09-13","Patricia","Dayana","M","1986-01-21"
17814,"1958-02-23","Barna","Wilfing","M","1986-01-05"
18071,"1956-04-08","Hairong","Caine","M","1986-01-22"
18134,"1953-09-02","Ult","Pesch","M","1986-01-12"
18218,"1959-12-21","Kiyotoshi","Georgakopoulos","M","1986-01-23"
18248,"1960-06-03","Jouko","Zwicker","M","1986-01-02"
18305,"1963-01-06","Luise","Bratten","M","1986-01-30"
18577,"1964-03-28","Ger","Oberman","M","1986-01-07"
18661,"1961-09-23","Shaw","Ghemri","F","1986-01-27"
19014,"1953-11-29","Jiafu","Danecki","F","1986-01-20"
19044,"1958-11-09","Berhard","Narlikar","M","1986-01-03"
19201,"1954-03-31","Arto","Sommen","M","1986-01-08"
19402,"1962-08-23","Berna","Legleitner","F","1986-01-16"
19502,"1957-02-28","Yongqiao","Tibblin","M","1986-01-25"
19712,"1953-09-05","Kristine","Litzler","M","1986-01-09"
19825,"1961-04-20","Oguz","Orlowski","F","1986-01-20"
19915,"1962-06-22","Mohit","Snedden","F","1986-01-05"
19929,"1954-03-05","Saniya","Katzenelson","F","1986-01-28"
19946,"1953-04-28","Owen","Levasseur","M","1986-01-28"
20022,"1952-09-26","Felicidad","Bellone","M","1986-01-26"
20078,"1960-11-23","Ziya","Frezza","F","1986-01-27"
20253,"1958-11-14","Shih","Bach","M","1986-01-26"
20293,"1961-01-27","Uta","Journel","F","1986-01-11"
20300,"1957-01-03","Jenwei","Nittel","M","1986-01-20"
20345,"1959-09-10","Junsik","Selenyi","M","1986-01-08"
20501,"1956-05-14","Shem","Range","F","1986-01-08"
20702,"1964-10-27","Sanjit","Lovengreen","M","1986-01-11"
20707,"1960-11-15","Achilleas","Ciolek","F","1986-01-04"
20722,"1964-11-04","Leandro","Anandan","F","1986-01-27"
20846,"1957-12-13","Aamod","Murtagh","M","1986-01-26"
20973,"1964-06-22","Kiyotoshi","Kitai","M","1986-01-20"
21051,"1961-04-06","Divine","Baez","F","1986-01-20"
21110,"1954-07-01","Shaowei","Solares","M","1986-01-26"
21249,"1964-03-24","Steen","Schueller","F","1986-01-28"
21299,"1953-06-09","Tamiya","Navazio","M","1986-01-12"
21525,"1959-01-26","Ziyad","Kakkad","M","1986-01-14"
21530,"1962-03-03","Takanari","Slobodova","F","1986-01-19"
21750,"1954-09-09","Padma","Shumilov","M","1986-01-24"
21911,"1961-05-18","Nobuyoshi","Montemayor","F","1986-01-28"
21915,"1953-11-12","Kitty","Erie","M","1986-01-27"
21986,"1959-12-21","Fay","Holburn","F","1986-01-16"
22028,"1957-06-14","Serif","Manderick","F","1986-01-02"
22053,"1958-10-16","Arlette","Brendel","M","1986-01-28"
22140,"1954-10-15","Susanne","Reghbati","M","1986-01-14"
22151,"1959-02-07","Hatsukazu","Luce","M","1986-01-15"
22209,"1959-05-22","Abdulla","Munck","M","1986-01-08"
22332,"1953-08-08","Rosine","Hebden","F","1986-01-27"
22374,"1952-04-08","Soenke","Klassen","F","1986-01-07"
22384,"1963-08-22","Billur","Ellozy","F","1986-01-16"
22480,"1954-09-21","Boaz","Mikschl","M","1986-01-31"
22576,"1962-02-11","Shawna","Reinhart","F","1986-01-01"
22879,"1957-04-25","Mayuri","Pollacia","M","1986-01-24"
22961,"1955-11-11","Hirochika","Masamoto","M","1986-01-24"
23143,"1957-04-26","Harngdar","Peltason","F","1986-01-11"
23278,"1954-11-20","Hein","Morrey","F","1986-01-24"
23306,"1953-04-09","Ziva","Falco","F","1986-01-03"
23326,"1962-03-23","Yuriy","Nitta","F","1986-01-16"
23410,"1964-05-23","Shao","Brattka","F","1986-01-09"
23544,"1962-12-26","Hailing","Vilarrasa","F","1986-01-22"
23585,"1964-10-08","Tamiya","Back","M","1986-01-30"
23600,"1964-11-12","Christ","Goldhammer","F","1986-01-23"
23669,"1963-08-23","Vishwani","Kaminger","M","1986-01-10"
23710,"1962-01-08","Hugh","Falco","M","1986-01-05"
23787,"1958-02-19","Keiichiro","Spataro","F","1986-01-21"
23937,"1963-03-15","Aruna","Heuter","F","1986-01-31"
24275,"1963-02-17","Fen","Lorch","M","1986-01-19"
24432,"1954-10-17","Jackson","Vakili","F","1986-01-10"
24519,"1954-01-07","Berry","Vasanthakumar","F","1986-01-21"
24536,"1958-06-03","Jeanne","Erez","F","1986-01-31"
24588,"1953-06-01","Huiqun","Kranzdorf","F","1986-01-07"
24611,"1963-11-25","Shigehiro","Rodier","F","1986-01-08"
24735,"1962-11-21","Mori","Chiodo","F","1986-01-09"
24829,"1954-08-23","Dietrich","Wiegley","F","1986-01-19"
25045,"1957-07-28","Mooi","Thimonier","F","1986-01-26"
25077,"1960-07-14","Kenroku","Preusig","M","1986-01-06"
25139,"1952-12-29","Aloke","Jiang","M","1986-01-03"
25152,"1962-02-26","Yoshinari","Malinowski","F","1986-01-23"
25923,"1961-01-08","Tru","Grandbois","F","1986-01-16"
25972,"1952-11-07","Demos","Escriba","F","1986-01-03"
26045,"1959-01-20","Mamdouh","Butner","F","1986-01-07"
26273,"1964-10-09","Mary","Angiulli","M","1986-01-23"
26308,"1963-09-05","Shuky","Shrader","M","1986-01-16"
26345,"1961-04-28","Sham","Vecchio","F","1986-01-17"
26365,"1962-02-25","Hercules","Veevers","M","1986-01-01"
26376,"1957-05-10","Arco","Rande","M","1986-01-11"
26534,"1959-04-01","Barun","Radhakrishnan","F","1986-01-21"
26700,"1964-08-09","Poornachandra","Rindone","F","1986-01-04"
26715,"1953-08-20","Dhritiman","Baby","M","1986-01-27"
26813,"1954-07-14","Khoa","Piveteau","M","1986-01-16"
26821,"1960-05-14","Adly","Gecsei","F","1986-01-08"
26935,"1952-03-21","Moti","Przulj","F","1986-01-06"
27008,"1955-10-27","Turgut","Gluchowski","F","1986-01-28"
27028,"1962-11-30","Magdalena","Cooman","M","1986-01-05"
27148,"1964-07-10","Ferdinand","Randt","M","1986-01-26"
27273,"1955-09-04","Alassane","Jeong","F","1986-01-16"
27376,"1956-09-08","Xiahua","Kuhnemann","M","1986-01-22"
27945,"1957-11-23","Fumiyo","Mansanne","F","1986-01-12"
28057,"1964-05-21","Barna","Picco","M","1986-01-13"
28099,"1963-07-12","Susanta","Potthoff","M","1986-01-15"
28152,"1964-11-13","Palash","Heusch","M","1986-01-21"
28338,"1964-08-16","Morrie","Aseltine","F","1986-01-11"
28404,"1953-07-12","Francesca","Schicker","M","1986-01-30"
28582,"1957-10-09","Arno","Rebaine","F","1986-01-25"
28637,"1963-09-29","Moto","Kenevan","M","1986-01-01"
28663,"1964-05-12","Toshiki","Shackel","F","1986-01-14"
28691,"1963-03-30","Ziya","Etalle","F","1986-01-17"
28718,"1961-06-11","Etsuo","Ratzlaff","M","1986-01-15"
28746,"1953-05-16","Steve","Maquelin","F","1986-01-03"
28873,"1953-01-21","Toshimo","Attimonelli","M","1986-01-09"
28933,"1954-04-09","Alain","Bernick","M","1986-01-24"
28969,"1955-08-23","Ute","Sinitsyn","M","1986-01-09"
28995,"1961-08-21","Gita","McFarlin","F","1986-01-23"
29115,"1964-10-20","Shiv","Furedi","F","1986-01-02"
29119,"1958-03-18","Toshiko","Felder","F","1986-01-01"
29162,"1956-06-23","Saddek","Mayerwieser","F","1986-01-24"
29182,"1952-11-17","Arumugam","Aamodt","F","1986-01-09"
29293,"1956-07-15","Mario","Gajiwala","F","1986-01-06"
29331,"1956-10-17","Sangeeta","Alvarado","F","1986-01-21"
29394,"1963-07-03","Lihong","Kawashimo","M","1986-01-21"
29484,"1960-04-09","Randy","Eickenmeyer","F","1986-01-29"
29708,"1962-05-07","Sachar","Undy","M","1986-01-01"
29709,"1963-11-24","Souichi","Streng","M","1986-01-21"
29766,"1961-06-09","Ramalingam","Decleir","F","1986-01-31"
29977,"1957-07-09","Tetsushi","Gimbel","M","1986-01-22"
30015,"1959-09-18","Akhilish","Veccia","M","1986-01-17"
30179,"1955-04-06","Shirish","Krzyzanowski","F","1986-01-31"
30218,"1961-09-05","Limsoon","Zhiwei","M","1986-01-13"
30281,"1956-01-21","Mikhail","Undy","F","1986-01-16"
30295,"1959-10-23","Yoshimitsu","Godskesen","M","1986-01-22"
30461,"1962-01-16","Badri","Jervis","M","1986-01-17"
30488,"1959-09-30","Berry","Peng","M","1986-01-28"
30573,"1954-01-26","Marie","Rijckaert","M","1986-01-16"
30619,"1963-10-25","Jianhua","Dengi","M","1986-01-11"
30643,"1958-12-12","Constantijn","Haddadi","M","1986-01-22"
30891,"1956-09-22","Nitsan","Rotem","F","1986-01-21"
31013,"1962-03-11","Ohad","Covnot","F","1986-01-30"
31056,"1962-07-23","Divine","Comellas","M","1986-01-19"
31159,"1963-02-08","Berto","Brandsma","M","1986-01-06"
31344,"1952-07-14","Saddek","Gerteisen","F","1986-01-24"
31444,"1953-06-08","Aris","Hinsberger","M","1986-01-08"
31517,"1958-02-07","Haldun","Atchley","M","1986-01-12"
31557,"1955-08-11","Denny","Kalafatis","F","1986-01-20"
31919,"1961-10-29","Alejandro","Toyoshima","F","1986-01-14"
31923,"1962-07-29","Yucai","Raney","M","1986-01-19"
31940,"1952-05-15","Kousuke","Brookner","M","1986-01-19"
31961,"1961-05-09","Alejandra","Luce","M","1986-01-01"
31999,"1953-12-15","Stabislas","Siksek","M","1986-01-04"
32036,"1959-03-02","Rosine","Swiss","M","1986-01-22"
32229,"1960-06-22","Weiwu","Wossner","F","1986-01-20"
32499,"1954-02-03","Jouko","Hellwagner","M","1986-01-15"
32615,"1953-08-05","Geoffrey","Sadowski","F","1986-01-17"
32651,"1964-09-20","Berhard","Claffy","M","1986-01-25"
32899,"1960-10-14","Heather","Lampe","M","1986-01-28"
32931,"1953-03-09","Almudena","DasSarma","M","1986-01-12"
33074,"1963-07-07","Martins","Condotta","M","1986-01-13"
33138,"1959-04-26","Ziyad","Kushnir","M","1986-01-17"
33180,"1959-08-31","Shietung","Bazzichi","M","1986-01-10"
33264,"1963-07-30","Kwangyoen","Uhrik","M","1986-01-30"
33308,"1964-03-31","Murthy","Ozeri","M","1986-01-11"
33341,"1959-07-31","Xiadong","Huxford","F","1986-01-11"
33378,"1961-11-16","Xiadong","Luke","F","1986-01-26"
33565,"1957-09-24","Aloys","Heyers","M","1986-01-06"
33648,"1953-05-30","Giri","Denos","M","1986-01-24"
33699,"1964-07-20","Kiam","Kuszyk","M","1986-01-09"
33733,"1952-05-16","Premsyl","Levasseur","F","1986-01-17"
33866,"1961-06-26","Tommaso","Kossowski","M","1986-01-22"
33899,"1959-11-22","Neelam","Deville","M","1986-01-02"
33946,"1956-12-12","Rosalie","Frijda","M","1986-01-29"
34202,"1953-10-19","Rafail","Stroustrup","F","1986-01-10"
34304,"1953-12-28","Arvind","Gulik","F","1986-01-11"
34305,"1960-11-19","Alexius","Rabejac","M","1986-01-30"
34512,"1961-06-08","Kwan","Vidal","F","1986-01-21"
34704,"1954-11-26","Jaques","Usery","M","1986-01-11"
34844,"1957-08-10","IEEE","Ranft","M","1986-01-16"
34845,"1958-01-06","Duke","Varman","M","1986-01-25"
34873,"1952-09-29","Ingmar","Ruemmler","M","1986-01-12"
34890,"1959-04-11","Hein","Conta","M","1986-01-23"
35036,"1964-07-03","Shaunak","Chappelet","M","1986-01-19"
35109,"1963-05-19","Arup","Xiaoshan","M","1986-01-05"
35115,"1958-10-11","Bilhanan","Chelton","M","1986-01-23"
35152,"1964-01-28","Khaled","Lubachevsky","M","1986-01-31"
35248,"1955-08-09","Tua","Passafiume","M","1986-01-18"
35345,"1958-01-19","Divier","Tiemann","M","1986-01-06"
35589,"1952-02-19","Kyoichi","Trystram","F","1986-01-13"
35646,"1961-11-18","Sugwoo","Horswill","F","1986-01-23"
35740,"1960-01-31","Mohan","Hitomi","F","1986-01-06"
35788,"1953-10-31","Weiyi","Burnard","M","1986-01-04"
35855,"1957-10-17","Arif","Vilarrasa","F","1986-01-30"
35892,"1952-12-08","Ghassan","Olivero","F","1986-01-07"
35906,"1959-06-24","Jackson","Krychniak","F","1986-01-13"
35958,"1963-07-15","Sadok","Besselaar","M","1986-01-14"
36147,"1953-05-13","Richard","Syrotiuk","M","1986-01-30"
36235,"1952-11-16","Rajmohan","Rebaine","M","1986-01-28"
36423,"1956-08-23","Rosli","Tibblin","F","1986-01-04"
36434,"1960-10-15","Uinam","Bolsens","F","1986-01-29"
36605,"1961-04-17","Zijian","Strehl","M","1986-01-31"
36663,"1960-03-15","Shridhar","Baalen","F","1986-01-25"
36923,"1953-08-28","Parviz","Jeong","M","1986-01-04"
36971,"1957-08-13","Marie","Zaumen","F","1986-01-09"
36998,"1952-08-09","Phule","Maliniak","F","1986-01-17"
37023,"1953-11-26","Shiv","Flasterstein","M","1986-01-30"
37132,"1958-09-29","Satoru","Merkl","F","1986-01-05"
37203,"1960-07-29","Paloma","Aloia","F","1986-01-30"
37217,"1952-09-12","Nathalie","Luit","M","1986-01-05"
37328,"1956-04-08","Yolla","Quadeer","F","1986-01-18"
37330,"1960-09-22","Tze","Trelles","M","1986-01-11"
37356,"1957-11-26","Mario","Menhardt","F","1986-01-30"
37456,"1964-06-23","Shih","Quaggetto","F","1986-01-22"
37512,"1958-01-24","Jiann","Hammerschmidt","F","1986-01-24"
37551,"1956-11-01","Sajjad","Boyle","M","1986-01-23"
37711,"1957-10-15","Sampalli","Godskesen","M","1986-01-01"
37812,"1957-06-06","Jayson","Moffat","F","1986-01-20"
37872,"1963-06-14","Frazer","Beilner","F","1986-01-13"
38094,"1961-01-21","Deborah","Soicher","F","1986-01-20"
38101,"1959-07-16","Xiahua","Yurek","M","1986-01-17"
38123,"1953-09-03","Kien","Cummings","M","1986-01-30"
38206,"1962-05-25","Ugo","Jeansoulin","F","1986-01-15"
38260,"1956-01-08","Torsten","Vieri","F","1986-01-06"
38402,"1959-08-26","Yuqun","Boguraev","M","1986-01-08"
38460,"1963-04-01","Chuanyi","Vanwelkenhuysen","F","1986-01-12"
38529,"1958-02-25","Nectarios","Maliniak","F","1986-01-16"
38687,"1959-04-21","Fumiyo","Minakawa","F","1986-01-15"
38810,"1954-08-22","Pohua","Roccetti","M","1986-01-02"
38906,"1956-07-19","Peternela","Chleq","M","1986-01-12"
39043,"1952-02-06","Kersti","Ferretti","M","1986-01-08"
39201,"1958-09-30","Katsuo","Restivo","M","1986-01-08"
39282,"1959-09-29","Paddy","Godskesen","M","1986-01-27"
39321,"1952-06-20","Arie","Wilfing","M","1986-01-08"
39328,"1959-12-13","DeForest","Itschner","M","1986-01-12"
39381,"1960-01-01","Remco","Zizka","M","1986-01-04"
39454,"1958-04-01","Hidefumi","Dymetman","M","1986-01-18"
39592,"1958-04-28","Brewster","Zongker","F","1986-01-18"
39607,"1961-04-04","Gen","Kropatsch","F","1986-01-28"
39725,"1959-12-28","Filipp","Morton","F","1986-01-06"
40124,"1958-07-23","Emran","Benzmuller","M","1986-01-05"
40383,"1961-01-29","Subhash","Pepe","M","1986-01-03"
40424,"1953-05-08","Niteen","Ghazalie","M","1986-01-28"
40444,"1959-02-17","Garnik","Ginneken","M","1986-01-12"
40760,"1953-04-25","Munehiro","Yetto","F","1986-01-30"
40858,"1960-06-15","Siamak","Nannarelli","M","1986-01-11"
40905,"1962-07-23","Radhia","Matzen","M","1986-01-18"
40926,"1962-12-14","Wilmer","Ritcey","F","1986-01-26"
40935,"1961-02-08","Tzu","Highland","F","1986-01-22"
41001,"1952-04-09","Kensei","Flowers","M","1986-01-09"
41057,"1963-10-31","Aiichiro","Ozeki","F","1986-01-20"
41081,"1953-02-16","Faiza","Mikschl","F","1986-01-21"
41274,"1954-08-18","Mari","Giveon","M","1986-01-18"
41338,"1961-06-11","Phule","Pelc","F","1986-01-25"
41384,"1964-07-23","Trygve","Eiron","M","1986-01-18"
41591,"1964-02-02","Martins","Asser","M","1986-01-14"
41604,"1954-01-14","Tadanori","Botman","F","1986-01-16"
41619,"1956-11-15","Keiichiro","Herath","F","1986-01-14"
41688,"1954-11-19","Phuoc","Dayana","M","1986-01-30"
41809,"1953-12-25","Shen","Puppe","M","1986-01-12"
41836,"1954-11-26","Akhilish","Passino","F","1986-01-28"
41853,"1961-03-14","Luerbio","Mitina","F","1986-01-24"
41857,"1953-04-27","Munehiko","Beznosov","M","1986-01-03"
42013,"1957-07-31","Tianruo","Demri","M","1986-01-01"
42360,"1955-11-24","Arunachalam","Itschner","F","1986-01-10"
42695,"1961-06-13","Vojin","Standera","M","1986-01-28"
42728,"1952-09-02","Moon","Melton","F","1986-01-04"
42790,"1963-09-30","Premal","Rosen","F","1986-01-21"
42794,"1957-08-22","Godehard","Rosenbaum","M","1986-01-17"
43058,"1955-05-02","Hauke","Pearson","M","1986-01-22"
43084,"1953-11-02","Babette","Leijenhorst","M","1986-01-11"
43420,"1952-08-02","Ziya","Kolinko","M","1986-01-31"
43482,"1952-10-20","Jiann","Pauthner","M","1986-01-31"
43509,"1957-09-08","Hidefumi","Rajcani","M","1986-01-25"
43525,"1961-04-15","Pranjal","Kirkerud","M","1986-01-30"
43564,"1956-08-04","Eldridge","Champarnaud","M","1986-01-27"
43567,"1957-02-05","Shen","Srimani","F","1986-01-07"
43883,"1953-10-31","Zhigen","Aseltine","M","1986-01-23"
43923,"1964-10-24","Jiann","Pena","M","1986-01-31"
44197,"1955-01-04","Geraldo","Krichel","M","1986-01-17"
44330,"1959-03-11","Adam","Wilharm","M","1986-01-10"
44351,"1956-03-16","Lunjin","Siepmann","M","1986-01-07"
44379,"1960-10-08","Xinglin","Perelgut","M","1986-01-06"
44395,"1953-05-22","Mario","Eastman","M","1986-01-25"
44574,"1963-11-25","Larisa","Brookner","M","1986-01-02"
44673,"1963-05-31","Kensei","Brookman","F","1986-01-31"
44922,"1962-07-18","Kellyn","Levasseur","M","1986-01-07"
44964,"1957-02-09","Ghassan","Orsini","M","1986-01-13"
45175,"1957-10-05","Luerbio","Lieberherr","M","1986-01-21"
45313,"1952-06-28","DAIDA","Schusler","F","1986-01-19"
45353,"1963-02-04","Ghassan","Ferretti","M","1986-01-26"
45413,"1956-06-19","Hongzhu","Wixon","M","1986-01-24"
45457,"1957-02-15","Salvador","Wroclawski","F","1986-01-25"
45514,"1955-02-15","Jessie","Alpin","M","1986-01-03"
45723,"1963-05-18","Marco","Trumbly","F","1986-01-10"
46161,"1957-03-10","Sumant","Hutter","M","1986-01-09"
46162,"1961-03-13","Ymte","Spinelli","M","1986-01-12"
46171,"1959-01-13","Tesuya","Plavsic","M","1986-01-29"
46414,"1953-03-11","Ferdinand","Schahn","M","1986-01-29"
46499,"1962-10-16","Sreekrishna","Schonegge","M","1986-01-21"
46523,"1962-04-03","Ramya","Wynblatt","F","1986-01-27"
46741,"1957-01-08","Shaz","Pollacia","F","1986-01-24"
46838,"1954-10-28","Yakichi","Marzano","M","1986-01-29"
47031,"1962-08-28","Neven","Vesel","M","1986-01-21"
47227,"1952-08-01","Jiafu","Gulla","M","1986-01-24"
47301,"1961-01-05","Berthier","Mansanne","M","1986-01-26"
47413,"1956-05-07","Nirmal","Comyn","F","1986-01-01"
47737,"1952-06-21","Kensei","Speek","F","1986-01-20"
47764,"1953-12-13","Nadjib","Demri","M","1986-01-16"
47821,"1953-07-07","Raimond","Mitina","M","1986-01-02"
47828,"1957-01-07","Mayuri","Manders","F","1986-01-02"
47989,"1961-12-22","Kinh","Camarinopoulos","F","1986-01-24"
48489,"1962-06-23","Danae","Nyanchama","F","1986-01-01"
48491,"1961-08-20","Uwe","Azuma","F","1986-01-17"
48595,"1963-05-03","Shan","Encarnacion","M","1986-01-04"
48809,"1955-01-17","Masami","Farrow","M","1986-01-25"
48814,"1961-01-05","Matt","Cannata","F","1986-01-13"
48858,"1964-04-06","Manohar","Hertweck","M","1986-01-28"
48897,"1959-03-15","Zengping","Dulli","F","1986-01-08"
48899,"1962-11-21","Vishu","Seiwald","F","1986-01-28"
48972,"1959-07-11","Hugo","Chepyzhov","F","1986-01-30"
49973,"1963-10-28","Stabislas","Billawala","M","1986-01-07"
49215,"1956-11-19","Tomofumi","Brandsma","M","1986-01-27"
49341,"1961-12-13","Basem","Klerer","F","1986-01-29"
49472,"1962-06-20","Dipankar","Hitomi","M","1986-01-06"
49557,"1958-10-04","Anoosh","Staudhammer","M","1986-01-05"
49676,"1963-07-21","Laurentiu","Naumovich","F","1986-01-04"
49681,"1960-11-12","Honglan","Unno","F","1986-01-13"
50285,"1955-05-03","Utz","Bernardeschi","M","1986-01-26"
50446,"1953-04-25","Eberhardt","Denti","F","1986-01-06"
50662,"1960-10-01","Munehiro","McClure","M","1986-01-14"
50677,"1953-12-09","Fei","Perfilyeva","M","1986-01-15"
50895,"1953-08-26","Stein","Bolsens","M","1986-01-23"
51003,"1963-09-13","Achilleas","Geffroy","F","1986-01-28"
50716,"1962-09-29","Jaideep","Boissier","M","1986-01-15"
50799,"1962-06-26","Maja","Schmiedel","F","1986-01-06"
51082,"1953-01-11","Patricio","Kobara","F","1986-01-20"
51093,"1959-02-14","Ohad","Crelier","M","1986-01-29"
51250,"1954-10-30","Leah","Alpay","F","1986-01-03"
51108,"1959-10-01","Valeri","Carrera","F","1986-01-24"
51142,"1965-01-29","Rosine","Lakshmanan","F","1986-01-31"
51153,"1964-04-28","Atreye","Penz","M","1986-01-18"
51525,"1958-02-18","Itzchak","Rosay","M","1986-01-03"
51365,"1964-08-25","Leucio","Stranks","F","1986-01-15"
51541,"1952-06-11","Zito","Boudaillier","F","1986-01-30"
51548,"1954-02-21","Freyja","Rahimi","M","1986-01-24"
51873,"1958-06-04","Sampalli","Straney","F","1986-01-26"
51455,"1953-10-18","Jinpo","Schnabel","F","1986-01-06"
51666,"1960-05-21","DeForest","Benner","M","1986-01-14"
52006,"1964-08-25","Satyanarayana","Aumann","M","1986-01-15"
52020,"1959-03-20","Teunis","Michaeli","M","1986-01-15"
52175,"1955-07-12","Oldrich","Cronan","M","1986-01-10"
52063,"1953-08-23","Ferdinand","Lunt","M","1986-01-26"
52212,"1964-12-20","Uno","Piancastelli","F","1986-01-06"
52269,"1963-08-14","Ortrud","Kroft","F","1986-01-23"
52271,"1955-03-18","Nikolaus","Schaft","M","1986-01-10"
52669,"1956-05-31","Abdelghani","Domenig","F","1986-01-31"
52692,"1962-05-26","Domenico","Debuse","M","1986-01-01"
52856,"1953-07-22","Kazuhide","Speel","M","1986-01-04"
